lib,N,dim,nbnode,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
npy,1,1,50,20,10,0.0009950718376785517,0.0010544999968260527,0.0010020970366895199,0.0010421450715512037,0.0010222563869319856,0.0009950718376785517,0.0010544999968260527,20,0.0010215434012934566,0
ort,10,1,50,20,10,0.0004513880703598261,0.0004998911172151566,0.00045278389006853104,0.0004870891571044922,0.00046178041957318784,0.0004513880703598261,0.000489381198363277,20,0.0004539286019280553,0
npy,10,1,50,20,10,0.0005519390106201172,0.0006033140234649181,0.0005645761266350746,0.0005853560287505388,0.0005730203585699201,0.0005519390106201172,0.0005981902509138635,20,0.0005711575504392385,0
ort,100,1,50,20,10,0.00045586517080664635,0.0005010368768125772,0.00045612803660333157,0.0004897539038211107,0.00046247333521023395,0.00045586517080664635,0.0004885001519236991,20,0.0004572074394673109,0
npy,100,1,50,20,10,0.0005615951959043741,0.0006242599338293076,0.0005649060476571321,0.0005840440280735493,0.0005756698315963149,0.0005615951959043741,0.000602811687247944,20,0.0005719600012525916,0
ort,1000,1,50,20,10,0.0005592820234596729,0.0006208519916981459,0.0005675561260432005,0.0005911421030759811,0.0005744537338614464,0.0005592820234596729,0.0006021797454667259,20,0.0005698370514437556,0
npy,1000,1,50,20,10,0.0007315939292311668,0.0007920269854366779,0.0007471160497516394,0.0007898621261119843,0.000764839630573988,0.0007315939292311668,0.0007920269854366779,20,0.0007670903578400612,0
ort,10000,1,50,20,10,0.0013903449289500713,0.0015825331211090088,0.0014290560502558947,0.001461684936657548,0.0014475659001618624,0.0013903449289500713,0.0015178784549800955,20,0.0014463235856965184,0
npy,10000,1,50,20,10,0.0016001600306481123,0.0017209979705512524,0.0016136830672621727,0.0016739019192755222,0.0016478225821629166,0.0016001600306481123,0.001706275896618063,20,0.0016517479671165347,0
ort,1,1,100,20,10,0.0007726240437477827,0.000911068869754672,0.0007734319660812616,0.0008576670661568642,0.0008129480411298573,0.0007726240437477827,0.0008862395987750366,20,0.0007969669532030821,0
npy,1,1,100,20,10,0.0020172460936009884,0.0021469269413501024,0.002037324011325836,0.0021144270431250334,0.0020767205860465765,0.0020172460936009884,0.002144680906531768,20,0.0020790359703823924,0
ort,10,1,100,20,10,0.0007748000789433718,0.0008946019224822521,0.0007750950753688812,0.0008005371782928705,0.0007894848939031362,0.0007748000789433718,0.0008429164632056701,20,0.0007776595884934068,0
npy,10,1,100,20,10,0.001088437857106328,0.0011928780004382133,0.001120293978601694,0.001165588852018118,0.0011419724673032761,0.0010930438883246056,0.0011909010462819467,20,0.0011425383854657412,0
ort,100,1,100,20,10,0.0007824981585144997,0.0008987891487777233,0.0007833328563719988,0.0008089540060609579,0.0007937822723761201,0.0007824981585144997,0.0008440628540149084,20,0.0007847610395401716,0
npy,100,1,100,20,10,0.001108985859900713,0.001174562145024538,0.001114384038373828,0.0011465710122138262,0.0011274050921201706,0.001108985859900713,0.001158279580093185,20,0.001123006921261549,0
ort,1000,1,100,20,10,0.0009958811569958925,0.001083476934581995,0.0009985079523175955,0.0010321300942450762,0.0010122177074663341,0.0009958811569958925,0.0010549135927431868,20,0.001000532996840775,0
npy,1000,1,100,20,10,0.0014553451910614967,0.0015451610088348389,0.0014649168588221073,0.001526310108602047,0.0014943838585168123,0.0014553451910614967,0.0015451610088348389,20,0.0014954301295801997,0
ort,10000,1,100,20,10,0.002515376079827547,0.0026592910289764404,0.0025229009333997965,0.002601939020678401,0.0025655128876678644,0.002515376079827547,0.0026421471447001252,20,0.0025524484226480126,0
npy,10000,1,100,20,10,0.003145512891933322,0.003323308890685439,0.0031886210199445486,0.0032925589475780725,0.003230048646219075,0.003145512891933322,0.0033212261615099352,20,0.0032340235775336623,0
ort,1,1,150,20,10,0.0011120419949293137,0.0012391479685902596,0.0011251848191022873,0.00118507188744843,0.0011504814494401217,0.0011120419949293137,0.001209467961144298,20,0.0011442279210314155,0
npy,1,1,150,20,10,0.002956654177978635,0.0031803969759494066,0.0030165628995746374,0.003130568889901042,0.0030592409893870354,0.002956654177978635,0.0031640956651226957,20,0.003054540022276342,0
ort,10,1,150,20,10,0.0010919019114226103,0.0012679460924118757,0.0010932208970189095,0.0011210190132260323,0.0011119343573227525,0.0010919019114226103,0.001186159135636176,20,0.001096988096833229,0
npy,10,1,150,20,10,0.0015948668587952852,0.001733188983052969,0.001653339946642518,0.0017114500515162945,0.0016776613891124725,0.0016139492157186686,0.001733188983052969,20,0.001683068578131497,0
ort,100,1,150,20,10,0.0011300710029900074,0.0012416350655257702,0.0011441619135439396,0.0011729770340025425,0.001159657002426684,0.0011300710029900074,0.0012051971828062732,20,0.0011586759937927127,0
npy,100,1,150,20,10,0.001691213110461831,0.0017703690100461245,0.0017194368410855532,0.0017623701132833958,0.001736151787918061,0.0016963785778725325,0.0017703690100461245,20,0.001738222548738122,0
ort,1000,1,150,20,10,0.0014275519642978907,0.0015446969773620367,0.001431911950930953,0.0014841719530522823,0.001450976263731718,0.0014275519642978907,0.0015136776136894547,20,0.0014354124432429671,0
npy,1000,1,150,20,10,0.002127193845808506,0.002291799057275057,0.0021755921188741922,0.002267336007207632,0.002212171070277691,0.002137441065458417,0.002286901075096965,20,0.002211913000792265,0
ort,10000,1,150,20,10,0.0037194821052253246,0.003967748023569584,0.0038107719738036394,0.003929600119590759,0.0038596569094806908,0.0037329703253345245,0.003967748023569584,20,0.0038690954679623246,0
npy,10000,1,150,20,10,0.004888352006673813,0.005962071940302849,0.004920348059386015,0.005195488920435309,0.005090596608351916,0.004888352006673813,0.00553565668191561,20,0.005043184035457671,0
ort,1,1,200,20,10,0.0015186099335551262,0.0017083848360925913,0.001521209953352809,0.0015886479523032904,0.0015503765782341361,0.0015186099335551262,0.0016377953316723765,20,0.0015342109836637974,0
npy,1,1,200,20,10,0.003941470989957452,0.004130779067054391,0.003948284080252051,0.004071790026500821,0.004005614563357085,0.003941470989957452,0.004106652823937426,20,0.003998543601483107,0
ort,10,1,200,20,10,0.0014203779865056276,0.001608945894986391,0.0014217039570212364,0.001461113104596734,0.001441187539603561,0.0014203779865056276,0.0015209981037377044,20,0.001426146598532796,0
npy,10,1,200,20,10,0.0021520128939300776,0.0023923879489302635,0.0021952828392386436,0.0022696680389344692,0.0022374064312316476,0.0021520128939300776,0.002338575460097144,20,0.002228225115686655,0
ort,100,1,200,20,10,0.0014301389455795288,0.0016035349108278751,0.0014330570120364428,0.001480787992477417,0.0014570718398317696,0.0014301389455795288,0.0015315719803229177,20,0.0014410304138436913,0
npy,100,1,200,20,10,0.0022118990309536457,0.002300861058756709,0.0022227440495043993,0.002275003120303154,0.002249905513599515,0.0022118990309536457,0.0022945136979744,20,0.0022517580073326826,0
ort,1000,1,200,20,10,0.0018533559050410986,0.0019825489725917578,0.0018563889898359776,0.0018856599926948547,0.0018734418321400882,0.0018533559050410986,0.0019270388997476003,20,0.001864087418653071,0
npy,1000,1,200,20,10,0.002861443907022476,0.002996465191245079,0.0028977859765291214,0.0029668998904526234,0.002931363636162132,0.0028695159467392165,0.002993211325585047,20,0.0029324854258447886,0
ort,10000,1,200,20,10,0.004794287960976362,0.005142465932294726,0.0048018768429756165,0.004966218955814838,0.004881913133431226,0.004794287960976362,0.005060794355277841,20,0.004857469466514885,0
npy,10000,1,200,20,10,0.006211763946339488,0.006725278915837407,0.006282159127295017,0.0064412690699100494,0.006377139559481293,0.006211763946339488,0.006614802116404162,20,0.0063588524935767055,0
ort,1,1,250,20,10,0.0018684978131204844,0.00201604887843132,0.0018710959702730179,0.0019126699771732092,0.0018935039406642318,0.0018684978131204844,0.0019560151491760398,20,0.0018849249463528395,0
npy,1,1,250,20,10,0.004902068991214037,0.005065038800239563,0.004955186974257231,0.005055599147453904,0.0049954891670495275,0.00491312565577561,0.005065038800239563,20,0.004996984964236617,0
