lib,rt,N,dataset,dim,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,fit_train_score_.shape,fit_validation_score_.shape,fit_n_features_,fit__predictors.size,fit__predictors.sum|tree_.leave_count,fit__predictors.sum|tree_.node_count,fit__predictors.max|tree_.max_depth,fit_estimators_.size,fit_estimators_.sum|tree_.node_count,fit_estimators_.max|tree_.max_depth,fit_estimators_.sum|tree_.leave_count,fit_estimators_.n_features_,fit_estimators_.n_classes_,fit_objective,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_n_targets
lgb,,2000,breast_cancer,-1,10,1,0.01012167101725936,0.01018657861277461,0.010134843178093433,0.01017362391576171,0.010151308262720704,0.01012167101725936,0.01018657861277461,10,0.010145959910005331,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,2000,breast_cancer,-1,10,1,0.011553190182894468,0.011637845076620579,0.011557335965335369,0.01156635582447052,0.011569415172562002,0.011553190182894468,0.011617039741985153,10,0.011561150196939707,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,2000,breast_cancer,-1,10,1,0.01841008197516203,0.018500758800655603,0.01843247888609767,0.018486364278942347,0.018445574585348366,0.01841008197516203,0.018500758800655603,10,0.018435891484841704,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,5000,breast_cancer,-1,10,1,0.025086570996791124,0.025276772677898407,0.025195732712745667,0.025251987855881453,0.025205451902002095,0.025095982005726915,0.025276772677898407,10,0.02521902951411903,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,5000,breast_cancer,-1,10,1,0.028841552324593067,0.029066838324069977,0.02888017101213336,0.028979333117604256,0.028930664481595158,0.028841552324593067,0.02906373575963521,10,0.028926963452249765,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,5000,breast_cancer,-1,10,1,0.04596134880557656,0.04626537300646305,0.04600269300863147,0.046195073053240776,0.04607547507621348,0.04596134880557656,0.04626537300646305,10,0.046031086007133126,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,10000,breast_cancer,-1,10,1,0.05028185388073325,0.05054866475984454,0.050370524637401104,0.05045378766953945,0.050417480524629354,0.05028185388073325,0.05054866475984454,10,0.05041758203878999,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,pyrt,10000,breast_cancer,-1,10,1,0.057715957053005695,0.0579679817892611,0.05775812128558755,0.05786766204982996,0.057798939291387796,0.057715957053005695,0.05795817713053956,10,0.057767220539972186,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,ort,10000,breast_cancer,-1,10,1,0.09192852908745408,0.092670904006809,0.09202178427949548,0.09212239924818277,0.09213711563497781,0.09192852908745408,0.09258603589300037,10,0.09208261012099683,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
lgb,,20000,breast_cancer,-1,10,1,0.10047605913132429,0.10136110009625554,0.10061787907034159,0.10094091016799212,0.10078535522334278,0.10047605913132429,0.10130160489083176,10,0.10072590643540025,,,30.0,,,,,100.0,,,,,,regression,2336.0,100.0,1218.0,2.0,1.0
