method,lib,skl_nb_base_estimators,N,dim,fit_intercept,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict_proba,onxonnxruntime1,,10000,100,True,,100,1,0.005871343892067671,0.006642736028879881,0.005915246903896332,0.006625103298574686,0.0063567848736420275,0.005871343892067671,0.006642736028879881,100,0.006536328000947833,0,4.0,12.0,1614.0,
predict,py,,10000,100,True,,100,1,0.0003863568417727947,0.0005124490708112717,0.0003882758319377899,0.00047097913920879364,0.00040308518335223196,0.0003863568417727947,0.0004414118565392691,100,0.0003975185099989176,0,,,,
predict_proba,py,,10000,100,True,,100,1,0.0006708777509629726,0.0007864120416343212,0.0006749611347913742,0.0007086978293955326,0.0006873907474800944,0.0006708777509629726,0.0007124530223422569,100,0.0006850119680166245,0,,,,
predict,skl,1.0,1,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,5.4560136049985886e-05,0.00019361916929483414,5.4667238146066666e-05,6.528012454509735e-05,5.7442174293100836e-05,5.4560136049985886e-05,8.506278554077417e-05,100,5.539786070585251e-05,0,,,,
predict,onxpython_compiled,,1,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.720587119460106e-05,7.90981575846672e-05,3.727385774254799e-05,4.6413857489824295e-05,3.881972748786211e-05,3.720587119460106e-05,4.7368734360015e-05,100,3.7813326343894005e-05,0,2.0,12.0,1450.0,
predict,onxonnxruntime1,,1,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.4389009922742844e-05,9.0091023594141e-05,2.453010529279709e-05,3.133900463581085e-05,2.564107533544302e-05,2.4389009922742844e-05,3.848401334443481e-05,100,2.4805311113595963e-05,0,2.0,12.0,1450.0,
predict_proba,skl,1.0,1,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,7.492303848266602e-05,0.00011080130934715271,7.533514872193336e-05,9.353505447506905e-05,7.710723206400871e-05,7.492303848266602e-05,8.69613353073672e-05,100,7.572048343718052e-05,0,,,,
predict_proba,onxpython_compiled,,1,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.574974834918976e-05,5.997298285365105e-05,3.575626760721207e-05,4.517287015914917e-05,3.706587478518486e-05,3.574974834918976e-05,4.299580126640217e-05,100,3.613927401602268e-05,0,2.0,12.0,1450.0,
predict_proba,onxonnxruntime1,,1,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.297479659318924e-05,3.708619624376297e-05,2.303021028637886e-05,2.4727080017328262e-05,2.350460272282362e-05,2.297479659318924e-05,2.63245307838855e-05,100,2.3287488147616386e-05,0,2.0,12.0,1450.0,
predict,py,,1,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,1.0282732546329498e-05,2.0978040993213654e-05,1.037493348121643e-05,1.9464176148176193e-05,1.0902909561991691e-05,1.0282732546329498e-05,1.4136125243816706e-05,100,1.0549323633313179e-05,0,,,,
predict_proba,py,,1,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.483006730675697e-05,5.769776180386543e-05,3.495486453175545e-05,4.364596679806709e-05,3.5834237933158876e-05,3.483006730675697e-05,4.151390735387154e-05,100,3.5317614674568176e-05,0,,,,
predict,skl,1.0,10,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,5.2226241677999496e-05,7.148599252104759e-05,5.239201709628105e-05,5.879765376448631e-05,5.321672186255455e-05,5.2226241677999496e-05,5.7362930769223384e-05,100,5.2803196012973785e-05,0,,,,
predict,onxpython_compiled,,10,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,4.1936058551073074e-05,6.216904148459435e-05,4.207901656627655e-05,4.799524322152138e-05,4.285441245883703e-05,4.1936058551073074e-05,4.7116094400070525e-05,100,4.247180186212063e-05,0,2.0,12.0,1450.0,
predict,onxonnxruntime1,,10,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.7894042432308197e-05,4.370976239442825e-05,2.8189271688461304e-05,3.0631665140390396e-05,2.8963456861674787e-05,2.7894042432308197e-05,3.21197416798385e-05,100,2.8695445507764816e-05,0,2.0,12.0,1450.0,
predict_proba,skl,1.0,10,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,7.33458437025547e-05,9.232200682163239e-05,7.344270125031471e-05,8.470611646771431e-05,7.475084625184536e-05,7.33458437025547e-05,8.018236090955186e-05,100,7.404712960124016e-05,0,,,,
predict_proba,onxpython_compiled,,10,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,4.200497642159462e-05,6.713205948472023e-05,4.212837666273117e-05,4.977500066161156e-05,4.318284802138806e-05,4.200497642159462e-05,4.902993136394679e-05,100,4.248693585395813e-05,0,2.0,12.0,1450.0,
predict_proba,onxonnxruntime1,,10,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.6966910809278488e-05,4.171812906861305e-05,2.71480530500412e-05,3.7694815546274185e-05,2.7937744744122028e-05,2.6966910809278488e-05,3.22402034755838e-05,100,2.750311978161335e-05,0,2.0,12.0,1450.0,
predict,py,,10,100,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,1.1038035154342651e-05,1.9424129277467728e-05,1.1146068572998047e-05,1.2115109711885452e-05,1.151038333773613e-05,1.1038035154342651e-05,1.314089832729611e-05,100,1.1399388313293457e-05,0,,,,
