method,lib,skl_nb_base_estimators,N,dim,leaf_size,metric,n_neighbors,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,onxonnxruntime1,,10,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.015950717963278294,0.018349406775087118,0.016807815991342068,0.01826524268835783,0.01740476065315306,0.015950717963278294,0.018349406775087118,10,0.017677580704912543,0,20.0,12.0,2101835.0,
predict_proba,skl,1.0,10,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.0006123478524386883,0.0010040472261607647,0.0006280457600951195,0.0007040100172162056,0.0006907320581376553,0.0006123478524386883,0.0009061559019691324,10,0.0006662309169769287,0,,,,
predict_proba,onxpython_compiled,,10,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.012694937642663717,0.015506770927459002,0.013842330314218998,0.014775909017771482,0.014229519339278341,0.012726294755868632,0.015506770927459002,10,0.014269443927332759,0,20.0,12.0,2101835.0,
predict_proba,onxonnxruntime1,,10,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.014423381071537733,0.018335371278226376,0.015272793360054493,0.016445567831397057,0.015865288116037844,0.014423381071537733,0.018148414228034742,10,0.01555776339955628,0,20.0,12.0,2101835.0,
predict,skl,1.0,100,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.0064863478764891624,0.007506115827709436,0.006677792873233557,0.00676052737981081,0.006749008037149906,0.0064863478764891624,0.007283119191549938,10,0.006705716485157609,0,,,,
predict,onxpython_compiled,,100,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.142064337618649,0.14802958397194743,0.1438863486982882,0.14664110215380788,0.14500090698711574,0.142064337618649,0.14802958397194743,10,0.14530014665797353,0,20.0,12.0,2101835.0,
predict,onxonnxruntime1,,100,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.1781640280969441,0.24377664411440492,0.2337402501143515,0.23744337493553758,0.226204575272277,0.18857921554176033,0.24377664411440492,10,0.2341558439657092,0,20.0,12.0,2101835.0,
predict_proba,skl,1.0,100,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.002520486246794462,0.0035319109447300434,0.0025428161025047302,0.002707475796341896,0.002688637422397733,0.002520486246794462,0.003258804780376168,10,0.0025561910588294268,0,,,,
predict_proba,onxpython_compiled,,100,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.1424772022292018,0.1476049991324544,0.1445332309231162,0.14748047618195415,0.14522678828798236,0.1424772022292018,0.1476049991324544,10,0.14482190902344882,0,20.0,12.0,2101835.0,
predict_proba,onxonnxruntime1,,100,5,10,euclidean,1,{<class 'sklearn.neighbors._classification.KNeighborsClassifier'>: {'optim': 'cdist'}},10,1,0.21222998993471265,0.24163438938558102,0.23348027793690562,0.23767914390191436,0.23338046236895024,0.2182400828196461,0.24163438938558102,10,0.2347301240079105,0,20.0,12.0,2101835.0,
predict,skl,1.0,1,5,10,euclidean,2,,10,1,0.00048857182264328,0.0008276980370283127,0.0005028331652283669,0.0005140588618814945,0.0005401312839239836,0.00048857182264328,0.0007314881852347401,10,0.0005083845462650061,0,,,,
predict,onxpython_compiled,,1,5,10,euclidean,2,,10,1,3.187388127669692,3.241497883107513,3.195255223196,3.205449710134417,3.2057923769112677,3.187388127669692,3.2404509198945113,10,3.1983479929622263,0,22.0,12.0,2102236.0,
predict,onxonnxruntime1,,1,5,10,euclidean,2,,10,1,0.3225703490898013,0.3308572266250849,0.32546728337183595,0.32973105972632766,0.3270013089291751,0.3225703490898013,0.3308572266250849,10,0.3269424585159868,0,22.0,12.0,2102236.0,
predict_proba,skl,1.0,1,5,10,euclidean,2,,10,1,0.0004151109606027603,0.0006972150877118111,0.00042845308780670166,0.000477758701890707,0.0004657116252928972,0.0004151109606027603,0.0006264569205341587,10,0.0004301154986023903,0,,,,
