method,lib,skl_nb_base_estimators,skl_dt_nodes,N,dim,max_depth,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,skl,1.0,13.0,10,5,3,10,1,5.5379001423716545e-05,0.00013682479038834572,5.74369914829731e-05,6.19830098003149e-05,6.68566906824708e-05,5.5379001423716545e-05,0.00011306222557701443,10,5.8462959714233875e-05,0,,,
predict,onxpython,,,10,5,3,10,1,0.002928837900981307,0.016845199977979064,0.00599809898994863,0.012014064937829971,0.007863905257545411,0.002928837900981307,0.016845199977979064,10,0.006025769980624318,0,3.0,11.0,1225.0
predict,onxonnxruntime1,,,10,5,3,10,1,3.225216642022133e-05,0.00010279589332640171,3.313296474516392e-05,3.920402377843857e-05,4.2281951755285264e-05,3.225216642022133e-05,8.255648791991653e-05,10,3.375299274921417e-05,0,3.0,11.0,1225.0
predict_proba,skl,1.0,13.0,10,5,3,10,1,7.400405593216419e-05,0.00016086502000689507,7.681106217205524e-05,8.76239500939846e-05,8.761142380535603e-05,7.400405593216419e-05,0.0001363737190484644,10,7.852003909647465e-05,0,,,
predict_proba,onxpython,,,10,5,3,10,1,0.0029073141049593687,0.011553946882486343,0.002999367890879512,0.007891741814091802,0.0048838572576642035,0.0029073141049593687,0.010833813254207299,10,0.003004394005984068,0,3.0,11.0,1225.0
predict_proba,onxonnxruntime1,,,10,5,3,10,1,3.957794979214668e-05,0.00010373210534453392,3.9986101910471916e-05,4.153396002948284e-05,4.699360579252243e-05,3.957794979214668e-05,8.41678309663785e-05,10,4.0127430111169815e-05,0,3.0,11.0,1225.0
predict,skl,1.0,13.0,100,5,3,10,1,5.855201743543148e-05,0.0001327900681644678,6.0443999245762825e-05,6.493902765214443e-05,6.901281885802746e-05,5.855201743543148e-05,0.00011112755101478855,10,6.113352719694376e-05,0,,,
predict,onxpython,,,100,5,3,10,1,0.0018652868457138538,0.01210024394094944,0.0029932151082903147,0.004158776020631194,0.0046051051933318375,0.0018652868457138538,0.010973060587865567,10,0.0030397699447348714,0,3.0,11.0,1225.0
predict,onxonnxruntime1,,,100,5,3,10,1,7.137400098145008e-05,0.00017560902051627636,7.282895967364311e-05,8.060387335717678e-05,8.589532226324081e-05,7.137400098145008e-05,0.00014563024922969363,10,7.327867206186056e-05,0,3.0,11.0,1225.0
predict_proba,skl,1.0,13.0,100,5,3,10,1,7.957709021866322e-05,0.00015426799654960632,8.326792158186436e-05,9.198812767863274e-05,9.46542015299201e-05,7.957709021866322e-05,0.0001379628422387427,10,8.566747419536114e-05,0,,,
predict_proba,onxpython,,,100,5,3,10,1,0.0018054088577628136,0.011378593044355512,0.005751911085098982,0.005922839045524597,0.006304938206449151,0.0018054088577628136,0.011378593044355512,10,0.00584879145026207,0,3.0,11.0,1225.0
predict_proba,onxonnxruntime1,,,100,5,3,10,1,0.0001142728142440319,0.00019184313714504242,0.00011749891564249992,0.00012970808893442154,0.0001281117554754019,0.0001142728142440319,0.00017158939757968783,10,0.00011978845577687025,0,3.0,11.0,1225.0
predict,skl,1.0,13.0,1000,5,3,10,1,8.092285133898258e-05,0.00015452387742698193,8.41550063341856e-05,9.677908383309841e-05,9.587719105184079e-05,8.092285133898258e-05,0.00013861238326937233,10,8.591299410909414e-05,0,,,
predict,onxpython,,,1000,5,3,10,1,0.0028845579363405704,0.01522228610701859,0.0030873268842697144,0.01148933288641274,0.006777229951694608,0.0028845579363405704,0.015030245123052085,10,0.005879651405848563,0,3.0,11.0,1225.0
predict,onxonnxruntime1,,,1000,5,3,10,1,0.0004180050455033779,0.0005823569372296333,0.00042208400554955006,0.0004630268085747957,0.00045283311046659944,0.0004180050455033779,0.0005532593118132923,10,0.0004244069568812847,0,3.0,11.0,1225.0
predict_proba,skl,1.0,13.0,1000,5,3,10,1,0.00011687609367072582,0.00019342591986060143,0.00012239301577210426,0.00012602005153894424,0.00012973498087376356,0.00011687609367072582,0.0001720523784611755,10,0.00012285402044653893,0,,,
predict_proba,onxpython,,,1000,5,3,10,1,0.004199807997792959,0.01615804503671825,0.004632316064089537,0.01579540385864675,0.009594557108357549,0.004199807997792959,0.01615804503671825,10,0.007876856019720435,0,3.0,11.0,1225.0
predict_proba,onxonnxruntime1,,,1000,5,3,10,1,0.0008330980781465769,0.0009708250872790813,0.0008428432047367096,0.0008474010974168777,0.0008566353470087051,0.0008330980781465769,0.0009327427131675392,10,0.0008437944343313575,0,3.0,11.0,1225.0
predict,skl,1.0,321.0,1,5,10,10,1,5.428912118077278e-05,0.00013768416829407215,5.6066084653139114e-05,6.510992534458637e-05,6.870420183986425e-05,5.428912118077278e-05,0.00011847189278978826,10,5.642487667500973e-05,0,,,
predict,onxpython,,,1,5,10,10,1,0.003012163797393441,0.011890256078913808,0.004684207960963249,0.00746553810313344,0.006271015899255872,0.003012163797393441,0.010990165381627465,10,0.0059589475858956575,0,3.0,11.0,12966.0
predict,onxonnxruntime1,,,1,5,10,10,1,2.983398735523224e-05,0.00012053805403411388,3.0485913157463074e-05,3.252015449106693e-05,4.026428796350956e-05,2.983398735523224e-05,9.284945258708056e-05,10,3.057846333831549e-05,0,3.0,11.0,12966.0
predict_proba,skl,1.0,321.0,1,5,10,10,1,7.201498374342918e-05,0.00014759786427021027,7.437588647007942e-05,7.838313467800617e-05,8.27109906822443e-05,7.201498374342918e-05,0.00012546337513074233,10,7.47729791328311e-05,0,,,
predict_proba,onxpython,,,1,5,10,10,1,0.00585962412878871,0.013713615946471691,0.007416184060275555,0.011709542013704777,0.0084928625728935,0.00585962412878871,0.013713615946471691,10,0.007467012037523091,0,3.0,11.0,12966.0
predict_proba,onxonnxruntime1,,,1,5,10,10,1,3.2325973734259605e-05,0.00010597612708806992,3.268802538514137e-05,3.5353004932403564e-05,4.105423577129841e-05,3.2325973734259605e-05,8.365327763478964e-05,10,3.320060204714537e-05,0,3.0,11.0,12966.0
