method,lib,skl_nb_base_estimators,skl_rf_nodes,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict_proba,onxonnxruntime1,,,1,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.3243559300899506e-05,5.2712857723236084e-05,3.3719465136528015e-05,3.4870579838752747e-05,3.623180091381073e-05,3.3243559300899506e-05,4.730538596494071e-05,10,3.386847674846649e-05,0,1.0,12.0,26399.0,
predict,skl,101.0,700.0,10,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009133955463767052,0.009476900100708008,0.00915782991796732,0.009170368313789368,0.009188985545188188,0.009133955463767052,0.009378506878718624,10,0.009161920752376318,0,,,,
predict,onxpython_compiled,,,10,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0015851203352212906,0.002998919226229191,0.002895670011639595,0.0029506152495741844,0.002796695660799742,0.0020020395830922435,0.002998919226229191,10,0.002925269305706024,0,1.0,12.0,26399.0,
predict,onxonnxruntime1,,,10,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,8.319783955812454e-05,0.00011050049215555191,8.366070687770844e-05,8.529424667358398e-05,8.719507604837418e-05,8.319783955812454e-05,0.0001027823101899583,10,8.410634472966194e-05,0,1.0,12.0,26399.0,
predict_proba,skl,101.0,700.0,10,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009098025038838387,0.009519555605947971,0.009147712960839272,0.009205623529851437,0.00920649254694581,0.009098025038838387,0.009443779157586901,10,0.00915919290855527,0,,,,
predict_proba,onxpython_compiled,,,10,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0014499519020318985,0.004408104345202446,0.0028574615716934204,0.0029879072681069374,0.0027918942272663117,0.0014499519020318985,0.004306392693716353,10,0.0029366016387939453,0,1.0,12.0,26399.0,
predict_proba,onxonnxruntime1,,,10,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,8.13184306025505e-05,0.00011151004582643509,8.216220885515213e-05,8.311402052640915e-05,8.570896461606026e-05,8.13184306025505e-05,0.00010284630476365662,10,8.251890540122986e-05,0,1.0,12.0,26399.0,
predict,skl,101.0,700.0,100,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009670891799032688,0.00987923238426447,0.009714716114103794,0.009792637079954147,0.009755476005375385,0.009670891799032688,0.00987923238426447,10,0.009732275735586882,0,,,,
predict,onxpython_compiled,,,100,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0018882732838392258,0.0032485509291291237,0.0031678415834903717,0.003238106146454811,0.003064760286360979,0.002289306524052698,0.0032485509291291237,10,0.003198675811290741,0,1.0,12.0,26399.0,
predict,onxonnxruntime1,,,100,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0005466006696224213,0.0006652725860476494,0.0005495389923453331,0.0005817664787173271,0.0005677975714206696,0.0005466006696224213,0.0006370861184431409,10,0.0005499017424881458,0,1.0,12.0,26399.0,
predict_proba,skl,101.0,700.0,100,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009507165290415287,0.010088558308780193,0.00953906774520874,0.009554356336593628,0.009591513779014349,0.009507165290415287,0.009917498088234125,10,0.009540160652250051,0,,,,
predict_proba,onxpython_compiled,,,100,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.001765572465956211,0.004709038883447647,0.0031310375779867172,0.0032003242522478104,0.0030393771827220916,0.001765572465956211,0.004565349013084405,10,0.0031480030156672,0,1.0,12.0,26399.0,
predict_proba,onxonnxruntime1,,,100,20,2,100,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.0005471771582961082,0.0005933474749326706,0.0005502812564373016,0.0005713347345590591,0.0005636444315314293,0.0005471771582961082,0.0005933474749326706,10,0.0005594203248620033,0,1.0,12.0,26399.0,
predict,skl,101.0,686.0,1,20,2,1000,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.00889490731060505,0.009283782914280891,0.00891522690653801,0.008959666825830936,0.008964928798377514,0.00889490731060505,0.0091792533538601,10,0.008924337569624186,0,,,,
predict,onxpython_compiled,,,1,20,2,1000,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.001535799354314804,0.002963331528007984,0.002816702239215374,0.0029271328821778297,0.0027360768988728525,0.0019425449910093217,0.002963331528007984,10,0.002859413158148527,0,1.0,12.0,25888.0,
predict,onxonnxruntime1,,,1,20,2,1000,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.62396240234375e-05,0.00010486878454685211,3.649294376373291e-05,3.803800791501999e-05,4.433179274201393e-05,3.62396240234375e-05,8.40542531035674e-05,10,3.7021469324827194e-05,0,1.0,12.0,25888.0,
predict_proba,skl,101.0,686.0,1,20,2,1000,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.008905371651053429,0.009372428990900517,0.008914767764508724,0.00894911214709282,0.008990837447345256,0.008905371651053429,0.009287192041890064,10,0.008918874897062778,0,,,,
predict_proba,onxpython_compiled,,,1,20,2,1000,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.001454722136259079,0.0029223253950476646,0.0027573127299547195,0.0028335098177194595,0.0026740910485386848,0.0018678584591498004,0.0029223253950476646,10,0.0027875681407749653,0,1.0,12.0,25888.0,
predict_proba,onxonnxruntime1,,,1,20,2,1000,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,3.514159470796585e-05,5.221739411354065e-05,3.53250652551651e-05,3.639142960309982e-05,3.765672445297241e-05,3.514159470796585e-05,4.7491357385237774e-05,10,3.571668639779091e-05,0,1.0,12.0,25888.0,
predict,skl,101.0,686.0,10,20,2,1000,{<class 'sklearn.ensemble._forest.RandomForestClassifier'>: {'zipmap': False}},10,1,0.009124944917857647,0.022607416845858097,0.009180502034723759,0.00943112000823021,0.010655348002910615,0.009124944917857647,0.0184897454781214,10,0.009194263722747564,0,,,,
