method,lib,skl_nb_base_estimators,skl_dt_nodes,N,dim,max_depth,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,onxonnxruntime1,,,100,20,20,10,1,0.00013053999282419682,0.00017853500321507454,0.0001446960959583521,0.00015203701332211494,0.00014908453449606894,0.00013053999282419682,0.0001726356926329192,10,0.00014697853475809097,0,1.0,11.0,6665826.0
predict,skl,1.0,161603.0,1000,20,20,10,1,0.0003417478874325752,0.0005328340921550989,0.0003588541876524687,0.00041047390550374985,0.00038893769960850476,0.0003417478874325752,0.0004968891465175817,10,0.00036794040352106094,0,,,
predict,onxpython,,,1000,20,20,10,1,0.0002127119805663824,0.00041183806024491787,0.0002271339762955904,0.0002522510476410389,0.00025228329468518496,0.0002127119805663824,0.00036361315606902515,10,0.00022948894184082747,0,1.0,11.0,6665826.0
predict,onxonnxruntime1,,,1000,20,20,10,1,0.0008308251854032278,0.0012954738922417164,0.0008617830462753773,0.0009559348691254854,0.0009291358524933458,0.0008308251854032278,0.0011917840325852604,10,0.000875866855494678,0,1.0,11.0,6665826.0
predict,skl,1.0,15.0,1,50,3,10,1,4.6239932999014854e-05,0.0001256079412996769,4.7114910557866096e-05,5.05389180034399e-05,5.625095218420029e-05,4.6239932999014854e-05,0.00010180137565234682,10,4.7971378080546856e-05,0,,,
predict,onxpython,,,1,50,3,10,1,1.6272999346256256e-05,9.180605411529541e-05,1.6442034393548965e-05,1.7843907698988914e-05,2.4708197452127932e-05,1.6272999346256256e-05,6.863043265328497e-05,10,1.6845064237713814e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,1,50,3,10,1,2.13689636439085e-05,0.0013346329797059298,2.1558953449130058e-05,2.331892028450966e-05,0.00015399339608848094,2.13689636439085e-05,0.0009253607166457266,10,2.166256308555603e-05,0,1.0,11.0,1089.0
predict,skl,1.0,15.0,10,50,3,10,1,4.745391197502613e-05,0.0001079309731721878,4.780595190823078e-05,5.1230890676379204e-05,5.508679896593094e-05,4.745391197502613e-05,8.99533910271479e-05,10,4.787743091583252e-05,0,,,
predict,onxpython,,,10,50,3,10,1,1.759384758770466e-05,8.224905468523502e-05,1.7740996554493904e-05,1.9224127754569054e-05,2.4713622406125068e-05,1.759384758770466e-05,6.234781899262753e-05,10,1.7977086827158928e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,10,50,3,10,1,2.63298861682415e-05,4.7791050747036934e-05,2.673710696399212e-05,2.774200402200222e-05,2.940329723060131e-05,2.63298861682415e-05,4.1684922197648347e-05,10,2.6769470423460007e-05,0,1.0,11.0,1089.0
predict,skl,1.0,15.0,100,50,3,10,1,5.3685856983065605e-05,8.845911361277103e-05,5.4327771067619324e-05,6.067100912332535e-05,6.04687025770545e-05,5.3685856983065605e-05,8.178713075571872e-05,10,5.500158295035362e-05,0,,,
predict,onxpython,,,100,50,3,10,1,2.238689921796322e-05,6.856606341898441e-05,2.3414846509695053e-05,3.261584788560867e-05,3.090945538133383e-05,2.238689921796322e-05,5.796849644501696e-05,10,2.403405960649252e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,100,50,3,10,1,4.771305248141289e-05,6.112898699939251e-05,4.8286980018019676e-05,4.9552880227565765e-05,5.009619053453207e-05,4.771305248141289e-05,5.775968469472254e-05,10,4.846497904509306e-05,0,1.0,11.0,1089.0
predict,skl,1.0,15.0,1000,50,3,10,1,0.00010259612463414669,0.00015709595754742622,0.00010339613072574139,0.00010890304110944271,0.00011045264545828104,0.00010259612463414669,0.00014145386148913826,10,0.0001040345523506403,0,,,
predict,onxpython,,,1000,50,3,10,1,6.0175079852342606e-05,0.00012020301073789597,6.196903996169567e-05,6.347708404064178e-05,6.798133254051208e-05,6.0175079852342606e-05,0.00010219933057326007,10,6.220454815775156e-05,0,1.0,11.0,1089.0
predict,onxonnxruntime1,,,1000,50,3,10,1,0.0002366888802498579,0.00028907693922519684,0.0002377149648964405,0.0002590189687907696,0.00025083054788410664,0.0002366888802498579,0.00028113283591641195,10,0.0002483759308233857,0,1.0,11.0,1089.0
predict,skl,1.0,2043.0,1,50,10,10,1,4.645390436053276e-05,0.00010847300291061401,4.756893031299114e-05,5.093892104923725e-05,5.4684188216924665e-05,4.645390436053276e-05,9.011594112789229e-05,10,4.8144604079425335e-05,0,,,
predict,onxpython,,,1,50,10,10,1,1.7056940123438835e-05,7.9411081969738e-05,1.7479993402957916e-05,1.8720049411058426e-05,2.4170614778995514e-05,1.7056940123438835e-05,6.0349408457364646e-05,10,1.7519458197057247e-05,0,1.0,11.0,79916.0
