N,alphas,count,dim,fit_priors,lib,lower,max,max3,mean,median,method,min,min3,ort_nodes,ort_size,repeat,skl_nb_nase_estimators,upper
1,0.0,100,10,False,ort,3.7394929677248e-05,6.154796574264765e-05,4.8373942263424397e-05,3.8738861912861464e-05,3.769301110878587e-05,predict_proba,3.7394929677248e-05,3.7452089600265026e-05,13.0,1551.0,100,,4.5856240161135e-05
10,0.0,100,10,False,skl,5.5875047110021114e-05,7.684191223233938e-05,7.344409823417664e-05,5.792577750980854e-05,5.6348973885178566e-05,predict,5.5875047110021114e-05,5.602801684290171e-05,,,100,1.0,6.580229889077696e-05
10,0.0,100,10,False,ort,3.88959888368845e-05,6.323796696960926e-05,5.407107528299093e-05,4.0557084139436485e-05,3.924657357856631e-05,predict,3.88959888368845e-05,3.898900467902422e-05,13.0,1551.0,100,,4.8240587561968364e-05
10,0.0,100,10,False,skl,0.00011393404565751553,0.00014716596342623234,0.0001405979273840785,0.00011840296443551778,0.00011506897863000631,predict_proba,0.00011393404565751553,0.00011400505900382996,,,100,1.0,0.00013204052286611538
10,0.0,100,10,False,ort,4.5220949687063694e-05,6.611703429371119e-05,6.25950051471591e-05,4.747076076455414e-05,4.570250166580081e-05,predict_proba,4.5220949687063694e-05,4.538299981504679e-05,13.0,1551.0,100,,5.575356192844248e-05
1,0.0,100,20,True,skl,5.400704685598612e-05,0.0001057180343195796,7.262500002980232e-05,5.6477003963664176e-05,5.44594950042665e-05,predict,5.400704685598612e-05,5.40480250492692e-05,,,100,1.0,6.940046578231932e-05
1,0.0,100,20,True,ort,3.60650010406971e-05,8.68520000949502e-05,4.678696859627962e-05,3.777628415264189e-05,3.6376004572957754e-05,predict,3.60650010406971e-05,3.613706212490797e-05,13.0,1633.0,100,,4.878463914546951e-05
1,0.0,100,20,True,skl,0.0001090948935598135,0.00016262801364064217,0.00013250508345663548,0.0001143087213858962,0.00011262047337368131,predict_proba,0.0001090948935598135,0.00010917102918028831,,,100,1.0,0.00013016971982522706
1,0.0,100,20,True,ort,3.741704858839512e-05,6.312702316790819e-05,4.717393312603235e-05,3.90575232449919e-05,3.788946196436882e-05,predict_proba,3.741704858839512e-05,3.754696808755398e-05,13.0,1633.0,100,,4.5997109224923526e-05
10,0.0,100,20,True,skl,5.6176912039518356e-05,8.296396117657423e-05,7.48049933463335e-05,5.881674471311271e-05,5.675491411238909e-05,predict,5.6176912039518356e-05,5.6397984735667706e-05,,,100,1.0,6.888735817875228e-05
10,0.0,100,20,True,ort,3.900995943695307e-05,6.654299795627594e-05,4.918803460896015e-05,4.082946223206818e-05,3.942800685763359e-05,predict,3.900995943695307e-05,3.904302138835192e-05,13.0,1633.0,100,,4.8497386959623266e-05
10,0.0,100,20,True,skl,0.00011430599261075258,0.00014317198656499386,0.000138375093229115,0.00011872571660205722,0.00011540349805727601,predict_proba,0.00011430599261075258,0.00011472194455564022,,,100,1.0,0.00013184893262873845
10,0.0,100,20,True,ort,4.55719418823719e-05,6.366195157170296e-05,5.8774021454155445e-05,4.747314844280481e-05,4.605151480063796e-05,predict_proba,4.55719418823719e-05,4.5693013817071915e-05,13.0,1633.0,100,,5.455497515496954e-05
1,0.0,100,20,False,skl,5.4007978178560734e-05,0.00011021399404853582,6.576802115887403e-05,5.6432305136695504e-05,5.4450996685773134e-05,predict,5.4007978178560734e-05,5.4113916121423244e-05,,,100,1.0,6.931290241102346e-05
1,0.0,100,20,False,ort,3.587908577173948e-05,8.819799404591322e-05,4.877103492617607e-05,3.781361156143248e-05,3.6229961551725864e-05,predict,3.587908577173948e-05,3.5973964259028435e-05,13.0,1633.0,100,,5.00404193284458e-05
1,0.0,100,20,False,skl,0.0001086289994418621,0.0001942500239238143,0.0001427049282938242,0.00011368963867425919,0.00010962644591927528,predict_proba,0.0001086289994418621,0.00010902294889092445,,,100,1.0,0.0001347954357341975
1,0.0,100,20,False,ort,3.73210059478879e-05,7.055304013192654e-05,4.74490225315094e-05,3.9037171518430114e-05,3.7643942050635815e-05,predict_proba,3.73210059478879e-05,3.7383055314421654e-05,13.0,1633.0,100,,4.765747709140635e-05
10,0.0,100,20,False,skl,5.613698158413172e-05,8.90169758349657e-05,7.428298704326153e-05,5.839937250129878e-05,5.6577438954263926e-05,predict,5.613698158413172e-05,5.62380300834775e-05,,,100,1.0,6.844321480973876e-05
10,0.0,100,20,False,ort,3.912602551281452e-05,6.355100777000189e-05,4.884402733296156e-05,4.078380530700087e-05,3.954151179641485e-05,predict,3.912602551281452e-05,3.922590985894203e-05,13.0,1633.0,100,,4.7689917565377245e-05
10,0.0,100,20,False,skl,0.00011388608254492283,0.00014147302135825157,0.00013824796769768,0.00011801765765994787,0.00011482153786346316,predict_proba,0.00011388608254492283,0.0001141569809988141,,,100,1.0,0.00013141712891080214
10,0.0,100,20,False,ort,4.5808032155036926e-05,6.310793105512857e-05,5.5799027904868126e-05,4.765690420754254e-05,4.630198236554861e-05,predict_proba,4.5808032155036926e-05,4.597799852490425e-05,13.0,1633.0,100,,5.390676789042192e-05
