method,lib,skl_nb_base_estimators,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size
predict,onxpython_compiled,,10,20,2,100,,10,1,2.9058195650577545e-05,3.9628706872463226e-05,3.047846257686615e-05,3.830995410680771e-05,3.2909680157899857e-05,2.9058195650577545e-05,3.9628706872463226e-05,10,3.086728975176811e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,10,20,2,100,,10,1,4.744436591863632e-05,6.474554538726807e-05,4.8259273171424866e-05,4.976242780685425e-05,5.042329430580139e-05,4.744436591863632e-05,6.007485695281382e-05,10,4.862947389483452e-05,0,1.0,12.0,26377.0
predict,skl,2.0,100,20,2,100,,10,1,0.0002357950434088707,0.00027345120906829834,0.00023799575865268707,0.0002414574846625328,0.0002429712563753128,0.0002357950434088707,0.0002636775761657599,10,0.00023952219635248184,0,,,
predict,onxpython_compiled,,100,20,2,100,,10,1,6.44223764538765e-05,0.00011964887380599976,6.511248648166656e-05,6.571691483259201e-05,7.070275023579597e-05,6.44223764538765e-05,0.00010269513332626209,10,6.527546793222427e-05,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,100,20,2,100,,10,1,0.00024343561381101608,0.00027256831526756287,0.0002445811405777931,0.00026714988052845,0.00025531472638249395,0.00024343561381101608,0.00027256831526756287,10,0.00025234557688236237,0,1.0,12.0,26377.0
predict,skl,2.0,1000,20,2,100,,10,1,0.0014417590573430061,0.0014748582616448402,0.0014451425522565842,0.0014484338462352753,0.0014491395093500614,0.0014417590573430061,0.0014667320043875037,10,0.0014470145106315613,0,,,
predict,onxpython_compiled,,1000,20,2,100,,10,1,0.0005083363503217697,0.0005667274817824364,0.0005095666274428368,0.0005154917016625404,0.0005174673162400723,0.0005083363503217697,0.0005500871797087891,10,0.0005122730508446693,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,1000,20,2,100,,10,1,0.0021767159923911095,0.0022849692031741142,0.0021825749427080154,0.002186807803809643,0.00219417754560709,0.0021767159923911095,0.002253988757145814,10,0.002184209879487753,0,1.0,12.0,26377.0
predict,skl,2.0,10000,20,2,100,,10,1,0.012986280024051666,0.01324333343654871,0.013014215044677258,0.013028216548264027,0.01303865723311901,0.012986280024051666,0.013176120639676197,10,0.013022060971707106,0,,,
predict,onxpython_compiled,,10000,20,2,100,,10,1,0.004956496879458427,0.005026409402489662,0.0049638329073786736,0.0049796514213085175,0.004974872339516878,0.004956496879458427,0.005012714449557158,10,0.0049672434106469154,0,1.0,12.0,26377.0
predict,onxonnxruntime1,,10000,20,2,100,,10,1,0.021564707159996033,0.02216585911810398,0.021581390872597694,0.021613480523228645,0.021647393144667147,0.021564707159996033,0.021988030944049008,10,0.02158239670097828,0,1.0,12.0,26377.0
predict,skl,2.0,1,20,5,1,,10,1,0.00010776612907648087,0.0002300906926393509,0.00011251959949731827,0.00012580212205648422,0.00012740856036543846,0.00010776612907648087,0.00019579528581311554,10,0.00011487910524010658,0,,,
predict,onxpython_compiled,,1,20,5,1,,10,1,1.4767982065677643e-05,8.292123675346375e-05,1.6194768249988556e-05,1.701992005109787e-05,2.328464761376381e-05,1.4767982065677643e-05,6.233301689097695e-05,10,1.6681384295225143e-05,0,1.0,12.0,230780.0
predict,onxonnxruntime1,,1,20,5,1,,10,1,3.4646131098270416e-05,7.910560816526413e-05,3.589782863855362e-05,3.651343286037445e-05,4.05958853662014e-05,3.4646131098270416e-05,6.592735585437061e-05,10,3.601564094424248e-05,0,1.0,12.0,230780.0
predict,skl,2.0,10,20,5,1,,10,1,0.0001414259895682335,0.00017316080629825592,0.00014337711036205292,0.00014931801706552505,0.00014836834743618964,0.0001414259895682335,0.00016610961842986836,10,0.00014449004083871841,0,,,
predict,onxpython_compiled,,10,20,5,1,,10,1,6.434693932533264e-05,9.114481508731842e-05,6.556790322065353e-05,7.095932960510254e-05,6.966684013605118e-05,6.434693932533264e-05,8.482249989873124e-05,10,6.593810394406319e-05,0,1.0,12.0,230780.0
predict,onxonnxruntime1,,10,20,5,1,,10,1,8.143763989210129e-05,0.00010387133806943893,8.265301585197449e-05,8.634291589260101e-05,8.600074797868729e-05,8.143763989210129e-05,9.855515976347351e-05,10,8.312519639730453e-05,0,1.0,12.0,230780.0
predict,skl,2.0,100,20,5,1,,10,1,0.00042572710663080215,0.0004686359316110611,0.00042919348925352097,0.0004338091239333153,0.0004351823590695858,0.00042572710663080215,0.000458457814508407,10,0.00043146684765815735,0,,,
predict,onxpython_compiled,,100,20,5,1,,10,1,0.0001517580822110176,0.00020738784223794937,0.0001531960442662239,0.00015674438327550888,0.00016033872961997985,0.0001517580822110176,0.00019199297496556682,10,0.00015368172898888588,0,1.0,12.0,230780.0
predict,onxonnxruntime1,,100,20,5,1,,10,1,0.0005339104682207108,0.0006014835089445114,0.0005364324897527695,0.0005561960861086845,0.0005485438741743565,0.0005339104682207108,0.0005905997019920291,10,0.0005368506535887718,0,1.0,12.0,230780.0
predict,skl,2.0,1000,20,5,1,,10,1,0.0030253203585743904,0.003090525045990944,0.0030320249497890472,0.003052337095141411,0.0030425176955759525,0.0030253203585743904,0.003081721938874003,10,0.0030328980647027493,0,,,
predict,onxpython_compiled,,1000,20,5,1,,10,1,0.0013879500329494476,0.0014294907450675964,0.001391429454088211,0.0013963477686047554,0.0013960803858935832,0.0013879500329494476,0.0014186617446534594,10,0.0013916031457483768,0,1.0,12.0,230780.0
predict,onxonnxruntime1,,1000,20,5,1,,10,1,0.005031764507293701,0.005234934389591217,0.005036801099777222,0.005041366443037987,0.005058615654706955,0.005031764507293701,0.005174101249194474,10,0.005040365271270275,0,1.0,12.0,230780.0
predict,skl,2.0,10000,20,5,1,,10,1,0.02763729076832533,0.02805112488567829,0.02770990040153265,0.027741122990846634,0.027747401874512433,0.02763729076832533,0.027955652019109965,10,0.027729663997888565,0,,,
predict,onxpython_compiled,,10000,20,5,1,,10,1,0.013591739349067211,0.013706337660551071,0.01360862422734499,0.013632958754897118,0.01362599218264222,0.013591739349067211,0.013691405837653757,10,0.013614035211503506,0,1.0,12.0,230780.0
