lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_estimators_.size,fit_estimators_.max|tree_.max_depth,fit_estimators_.n_classes_,fit_estimators_.sum|tree_.leave_count,fit_estimators_.sum|tree_.node_count,fit_estimators_.n_features_,fit_n_classes_,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_.sum|.sum|tree_.node_count,fit_estimators_..n_classes_,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_..n_features_,fit_estimators_.sum|.sum|tree_.leave_count,fit_validation_score_.shape,fit__predictors.size,fit__predictors.max|tree_.max_depth,fit__predictors.sum|tree_.leave_count,fit__predictors.sum|tree_.node_count,fit_objective,fit_n_targets,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_singular_.shape,fit_intercept_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
ort,2000,boston,-1,ADA,False,5,1,0.00984897930175066,0.010316674131900072,0.009991078823804855,0.00984897930175066,0.010316674131900072,5,0.00986434519290924,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,2000,boston,-1,ADA,False,5,1,0.0069015296176075935,0.0075359768234193325,0.007051304541528225,0.0069015296176075935,0.007528528605241803,5,0.00692697474732995,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,2000,boston,-1,ADA,False,5,1,0.0064306799322366714,0.007087355945259333,0.006578089017421007,0.0064306799322366714,0.007079415687624104,5,0.006440165918320417,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,2000,boston,-1,ADA,False,5,1,0.006062235217541456,0.0062127020210027695,0.006123871635645628,0.006062235217541456,0.0062127020210027695,5,0.006104444153606892,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,5000,boston,-1,ADA,False,5,1,0.025533325970172882,0.026916199829429388,0.026245216000825168,0.025533325970172882,0.026916199829429388,5,0.02616836503148079,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,5000,boston,-1,ADA,False,5,1,0.0159144657664001,0.01742186676710844,0.016610307898372412,0.0159144657664001,0.01742186676710844,5,0.01658282009884715,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,5000,boston,-1,ADA,False,5,1,0.016673199832439423,0.01710304105654359,0.01682324055582285,0.016673199832439423,0.01710304105654359,5,0.016780845820903778,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,5000,boston,-1,ADA,False,5,1,0.014706485904753208,0.016567423939704895,0.015422065742313862,0.014706485904753208,0.016567423939704895,5,0.014939766842871904,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,10000,boston,-1,ADA,False,5,1,0.051553902216255665,0.0540291010402143,0.052411874383687974,0.051553902216255665,0.0540291010402143,5,0.051775983069092035,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,10000,boston,-1,ADA,False,5,1,0.0286527699790895,0.029060172848403454,0.028923201374709606,0.0286527699790895,0.029060172848403454,5,0.02895196294412017,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
