method,lib,skl_nb_base_estimators,N,dim,max_depth,n_estimators,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,onxpython_compiled,,1000,5,10,100,,10,1,0.001363363116979599,0.015561594627797604,0.0013729305937886238,0.005560171324759722,0.004502726485952735,0.001363363116979599,0.014977693127110163,10,0.0013865572400391102,0,1.0,12.0,424015.0,
predict,onxonnxruntime1,,1000,5,10,100,,10,1,0.005937666166573763,0.007359330076724291,0.005948716774582863,0.005988594610244036,0.006103478139266372,0.005937666166573763,0.006925632943802377,10,0.005954042775556445,0,1.0,12.0,424015.0,
predict,skl,2.0,10000,5,10,100,,10,1,0.012648734264075756,0.012884730007499456,0.012673576828092337,0.012685501947999,0.012692782701924444,0.012648734264075756,0.012820548680282396,10,0.01267546508461237,0,,,,
predict,onxpython_compiled,,10000,5,10,100,,10,1,0.013503688853234053,0.04643409885466099,0.013530913274735212,0.025433703791350126,0.022398120304569603,0.013503688853234053,0.0440380805819775,10,0.017985924147069454,0,1.0,12.0,424015.0,
predict,onxonnxruntime1,,10000,5,10,100,,10,1,0.055836900137364864,0.056840199045836926,0.055927593261003494,0.055964799132198095,0.056020855577662586,0.055836900137364864,0.05656171072619548,10,0.055948494700714946,0,1.0,12.0,424015.0,
predict,skl,2.0,1,10,2,1,,10,1,0.0019572172313928604,0.0021076127886772156,0.001961186993867159,0.001983378082513809,0.0019897059071809055,0.0019572172313928604,0.0020800634447180697,10,0.0019723260775208473,0,,,,
predict,onxpython_compiled,,1,10,2,1,,10,1,1.1541880667209625e-05,3.823777660727501e-05,1.1665746569633484e-05,1.278100535273552e-05,1.4762626960873604e-05,1.1541880667209625e-05,3.0183256788823755e-05,10,1.1853408068418503e-05,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,1,10,2,1,,10,1,2.662697806954384e-05,6.811507046222687e-05,2.7018599212169647e-05,2.8986018151044846e-05,3.1863618642091754e-05,2.662697806954384e-05,5.573884825420532e-05,10,2.7231872081756592e-05,0,1.0,12.0,26377.0,
predict,skl,2.0,10,10,2,1,,10,1,0.001672069076448679,0.0017178240232169628,0.0016968217678368092,0.0017093592323362827,0.0016961727757006883,0.001672069076448679,0.0017178240232169628,10,0.0016978313215076923,0,,,,
predict,onxpython_compiled,,10,10,2,1,,10,1,3.1058210879564285e-05,4.1211023926734924e-05,3.148382529616356e-05,3.1801871955394745e-05,3.266232088208199e-05,3.1058210879564285e-05,3.841932496244768e-05,10,3.150873817503452e-05,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,10,10,2,1,,10,1,4.8809684813022614e-05,6.327172741293907e-05,5.007116124033928e-05,5.27137890458107e-05,5.213227123022079e-05,4.8809684813022614e-05,6.032537070090304e-05,10,5.0192466005682945e-05,0,1.0,12.0,26377.0,
predict,skl,2.0,100,10,2,1,,10,1,0.0017373869195580482,0.001776197925209999,0.0017460728995501995,0.001752530224621296,0.0017502234783023595,0.0017373869195580482,0.0017698071022509165,10,0.0017474109772592783,0,,,,
predict,onxpython_compiled,,100,10,2,1,,10,1,0.004418801981955767,0.011780083179473877,0.008723177015781403,0.008992739021778107,0.00838666008785367,0.004418801981955767,0.011780083179473877,10,0.008786722552031279,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,100,10,2,1,,10,1,0.0002573970705270767,0.0002701831981539726,0.00025852303951978683,0.0002627191133797169,0.0002606326248496771,0.0002573970705270767,0.00026797024120824297,10,0.0002590350341051817,0,1.0,12.0,26377.0,
predict,skl,2.0,1000,10,2,1,,10,1,0.002430887892842293,0.002491666004061699,0.00244669197127223,0.0024571996182203293,0.0024519762955605984,0.002430887892842293,0.002482581630943499,10,0.0024475993122905493,0,,,,
predict,onxpython_compiled,,1000,10,2,1,,10,1,0.0043509341776371,0.013483157381415367,0.009111588355153799,0.011830026283860207,0.009555503679439425,0.0043509341776371,0.013483157381415367,10,0.009133295388892293,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,1000,10,2,1,,10,1,0.0021994570270180702,0.002307687886059284,0.002238496206700802,0.002275753766298294,0.0022519133985042573,0.0021994570270180702,0.002307687886059284,10,0.0022673290222883224,0,1.0,12.0,26377.0,
predict,skl,2.0,10000,10,2,1,,10,1,0.00785531010478735,0.008106593042612076,0.007870619650930166,0.007892090827226639,0.007899346109479666,0.00785531010478735,0.008037456530920712,10,0.007882872829213738,0,,,,
predict,onxpython_compiled,,10000,10,2,1,,10,1,0.005047977901995182,0.020589553751051426,0.012660633772611618,0.020436001010239124,0.015036151045933366,0.005222374139178906,0.020589553751051426,10,0.014076252467930317,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,10000,10,2,1,,10,1,0.021802884060889482,0.022575983311980963,0.021826068870723248,0.021869985852390528,0.021913817478343846,0.021802884060889482,0.02234987845243434,10,0.021852603182196617,0,1.0,12.0,26377.0,
predict,skl,2.0,1,10,2,10,,10,1,0.001981344074010849,0.0021113362163305283,0.001995550002902746,0.002045257017016411,0.002020541438832879,0.001981344074010849,0.0021039293046810135,10,0.001996403094381094,0,,,,
predict,onxpython_compiled,,1,10,2,10,,10,1,1.177564263343811e-05,3.743590787053108e-05,1.1882279068231583e-05,1.2842006981372833e-05,1.488695852458477e-05,1.177564263343811e-05,2.972720961507656e-05,10,1.2049451470375061e-05,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,1,10,2,10,,10,1,2.7072150260210037e-05,6.710970774292946e-05,2.7731992304325104e-05,2.9542017728090286e-05,3.230394795536995e-05,2.7072150260210037e-05,5.522441122653526e-05,10,2.794363535940647e-05,0,1.0,12.0,26377.0,
predict,skl,2.0,10,10,2,10,,10,1,0.0017108321189880371,0.0017642020247876644,0.0017252261750400066,0.001733717042952776,0.001731436513364315,0.0017108321189880371,0.0017595838795403996,10,0.0017302681226283312,0,,,,
predict,onxpython_compiled,,10,10,2,10,,10,1,3.151502460241318e-05,4.174700006842613e-05,3.202585503458977e-05,3.2708048820495605e-05,3.321915864944458e-05,3.151502460241318e-05,3.8894874337580686e-05,10,3.224844112992287e-05,0,1.0,12.0,26377.0,
predict,onxonnxruntime1,,10,10,2,10,,10,1,4.895823076367378e-05,6.448104977607727e-05,4.963483661413193e-05,5.003809928894043e-05,5.129696801304817e-05,4.895823076367378e-05,6.011829936427412e-05,10,4.9712834879755974e-05,0,1.0,12.0,26377.0,
predict,skl,2.0,100,10,2,10,,10,1,0.001789154950529337,0.0018265931867063046,0.0018020621500909328,0.0018186066299676895,0.0018064532428979873,0.001789154950529337,0.0018265931867063046,10,0.0018040745053440332,0,,,,
