lib,method,N,dim,fixed_dim,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,ox_out_activations_result,5,10,10,25,20,0.0007844758220016956,0.0008164551109075546,0.0007872949354350567,0.0008126893080770969,0.0007952101528644562,0.0007844758220016956,0.0008164364082751009,25,0.0007887966930866241,0
ort,ox_negative_class_proba,5,10,10,25,20,0.0007796068675816059,0.0008621597662568092,0.0007837447337806225,0.0008248072117567062,0.0008000746555626392,0.0007796068675816059,0.0008377038116815165,25,0.0007886909879744053,0
ort,ox_probabilities,5,10,10,25,20,0.0007822196930646896,0.0008245659992098808,0.000783523079007864,0.0008111870847642422,0.0007916045188903809,0.0007822196930646896,0.0008162510172588446,25,0.0007857060991227627,0
ort,ox_argmax_output,5,10,10,25,20,0.0007825009524822235,0.0008445428684353828,0.0007858951576054096,0.0008202460594475269,0.0007964621298015117,0.0007825009524822235,0.0008282753915472323,25,0.0007877652533352375,0
ort,ox_array_feature_extractor_result,5,10,10,25,20,0.0007842979393899441,0.0008183619938790798,0.0007867603562772274,0.0008124532178044319,0.0007940567098557949,0.0007842979393899441,0.000815798674140205,25,0.0007880781777203083,0
ort,ox_reshaped_result,5,10,10,25,20,0.0007806830108165741,0.0008126241154968739,0.0007821680046617985,0.0008093039505183697,0.0007923064939677715,0.0007806830108165741,0.0008126241154968739,25,0.0007858499884605408,0
ort,ox_label,5,10,10,25,20,0.0007801111787557602,0.000829468946903944,0.0007819849997758865,0.0008094301447272301,0.0007921724766492843,0.0007801111787557602,0.0008190854340380334,25,0.0007852790877223015,0
ort,ox_output_label,5,10,10,25,20,0.0007760799489915371,0.0008100350387394428,0.0007799477316439152,0.000806816853582859,0.0007879659533500671,0.0007760799489915371,0.000809825289001605,25,0.0007820590399205685,0
ort,ox_output_probability,5,10,10,25,20,0.0007779267616569996,0.0008281259797513485,0.0007802629843354225,0.0008168909698724747,0.0007913464307785034,0.0007779267616569996,0.0008199719820678758,25,0.0007846527732908726,0
skl,skl_proba,10,10,10,25,20,0.0020544803701341152,0.0021329186856746674,0.0020575798116624355,0.002114925067871809,0.0020814085751771926,0.0020544803701341152,0.002125159364217342,25,0.002083161845803261,0
ort,onnx_proba,10,10,10,25,20,0.0007403981871902943,0.0007705879397690296,0.0007415772415697575,0.0007640840485692024,0.0007475591450929642,0.0007403981871902943,0.0007646584307830777,25,0.000743132084608078,0
ort,ox_cast_input,10,10,10,25,20,0.000832452904433012,0.0008921697735786438,0.0008333376608788967,0.0008613769896328449,0.0008428172208368778,0.000832452904433012,0.0008706804512375555,25,0.0008351542055606842,0
ort,ox_mul_result,10,10,10,25,20,0.0008295690640807152,0.0008710217662155628,0.0008309218101203442,0.0008555501699447632,0.0008390088193118572,0.0008295690640807152,0.0008613752144926724,25,0.0008325721137225628,0
ort,ox_add_result,10,10,10,25,20,0.0008270270191133022,0.0008607571944594383,0.0008277050219476223,0.00085041718557477,0.0008369268476963043,0.0008270270191133022,0.0008569971499766839,25,0.0008316570892930031,0
ort,ox_next_activations,10,10,10,25,20,0.000824744813144207,0.0009017512202262878,0.0008261706680059433,0.0008615143597126007,0.0008384977467358112,0.000824744813144207,0.0008755589487092673,25,0.0008298410102725029,0
ort,ox_mul_result1,10,10,10,25,20,0.0008292701095342636,0.0009336876682937145,0.0008326796814799309,0.0008991830982267857,0.000856103952974081,0.0008292701095342636,0.0009060471754747116,25,0.0008531161583960056,0
ort,ox_add_result1,10,10,10,25,20,0.0008232998661696911,0.0008869771845638752,0.0008244994096457958,0.0008533718064427376,0.0008366008661687374,0.0008232998661696911,0.0008655813479245386,25,0.0008302601054310799,0
ort,ox_next_activations1,10,10,10,25,20,0.0008297762833535671,0.0009219767525792122,0.0008307290263473988,0.0008608931675553322,0.0008438977785408497,0.0008297762833535671,0.0008835472946948694,25,0.000834630336612463,0
ort,ox_mul_result2,10,10,10,25,20,0.0008300258778035641,0.0008656629361212254,0.0008312161080539227,0.0008586877956986427,0.0008396837487816811,0.0008300258778035641,0.0008630849687404559,25,0.000833537895232439,0
ort,ox_add_result2,10,10,10,25,20,0.0008336389437317848,0.0008719759061932564,0.0008349251002073288,0.0008672280237078667,0.0008446647599339485,0.0008336389437317848,0.0008697995323195093,25,0.0008373050950467587,0
ort,ox_out_activations_result,10,10,10,25,20,0.0008258428424596786,0.0008608498610556126,0.0008269622921943665,0.0008527860045433044,0.0008337095566093921,0.0008258428424596786,0.0008538105310044046,25,0.0008285739459097385,0
ort,ox_negative_class_proba,10,10,10,25,20,0.0008257711306214333,0.0008892281912267208,0.0008280789479613304,0.0008534090593457222,0.0008383197709918022,0.0008257711306214333,0.0008673608909755634,25,0.0008304119110107422,0
ort,ox_probabilities,10,10,10,25,20,0.0008247229270637035,0.0008876239880919456,0.0008261390030384064,0.0008522248826920986,0.0008365293219685555,0.0008247229270637035,0.000863904832111727,25,0.0008285059593617916,0
ort,ox_argmax_output,10,10,10,25,20,0.0008271727710962296,0.0008673379197716713,0.0008272486738860607,0.0008561918511986732,0.0008379874005913734,0.0008271727710962296,0.000861471858462069,25,0.000831908080726862,0
ort,ox_array_feature_extractor_result,10,10,10,25,20,0.0008261147886514664,0.00087007787078619,0.0008269096724689007,0.0008543138392269611,0.0008358331955969334,0.0008261147886514664,0.0008606484487235678,25,0.0008289697580039501,0
ort,ox_reshaped_result,10,10,10,25,20,0.0008289557881653309,0.0008643670007586479,0.0008309870027005672,0.0008568721823394299,0.0008402583748102189,0.0008289557881653309,0.0008625465725975927,25,0.0008324091322720051,0
ort,ox_label,10,10,10,25,20,0.0008291988633573055,0.0008708708919584751,0.0008304431103169918,0.0008587390184402466,0.0008402835391461849,0.0008291988633573055,0.0008650967501849484,25,0.0008333353325724602,0
ort,ox_output_label,10,10,10,25,20,0.0008238530717790127,0.000867640133947134,0.0008258307352662086,0.0008637188002467155,0.0008388934843242169,0.0008238530717790127,0.0008666709687754814,25,0.0008324463851749897,0
ort,ox_output_probability,10,10,10,25,20,0.0008292580023407936,0.000866760965436697,0.0008309618569910526,0.0008578021079301834,0.0008398318663239479,0.0008292580023407936,0.0008632321317822231,25,0.0008331588469445705,0
skl,skl_proba,20,10,10,25,20,0.002140501979738474,0.002340872772037983,0.0021422472782433033,0.0021758032962679863,0.0021656770445406437,0.002140501979738474,0.0022401896399876615,25,0.0021637799218297005,0
ort,onnx_proba,20,10,10,25,20,0.0008423994295299053,0.0009244270622730255,0.0008444082923233509,0.0008801808580756187,0.0008577300235629082,0.0008423994295299053,0.0008963361693184934,25,0.0008471379987895489,0
ort,ox_cast_input,20,10,10,25,20,0.0009296387434005737,0.0009913579560816288,0.0009309318847954273,0.000978170894086361,0.0009478307329118252,0.0009296387434005737,0.0009850156292427919,25,0.0009362520650029182,0
ort,ox_mul_result,20,10,10,25,20,0.0009280052036046982,0.0009733550250530243,0.0009299302473664284,0.0009637540206313133,0.0009414080716669559,0.0009280052036046982,0.0009690154579285181,25,0.000932551920413971,0
ort,ox_add_result,20,10,10,25,20,0.0009364932775497437,0.0009734011255204678,0.0009391363710165024,0.0009715678170323372,0.0009494325146079064,0.0009364932775497437,0.0009734011255204678,25,0.0009448453783988953,0
ort,ox_next_activations,20,10,10,25,20,0.0009423741139471531,0.0009876759722828865,0.0009433808736503124,0.00098327174782753,0.0009545821323990822,0.0009423741139471531,0.000982400809159249,25,0.0009472020901739597,0
ort,ox_mul_result1,20,10,10,25,20,0.0009389840997755527,0.0009741890244185925,0.0009394553489983082,0.0009645409882068634,0.0009461957029998303,0.0009389840997755527,0.0009670586229945087,25,0.0009405249729752541,0
ort,ox_add_result1,20,10,10,25,20,0.000937415286898613,0.0009900103323161602,0.0009379452094435692,0.0009645908139646053,0.0009471453912556171,0.000937415286898613,0.0009752036502894936,25,0.0009400690905749798,0
ort,ox_next_activations1,20,10,10,25,20,0.0009341398254036903,0.0009866831824183464,0.0009357789531350136,0.0009615672752261162,0.0009448283538222313,0.0009341398254036903,0.0009693609412500255,25,0.0009390097111463547,0
ort,ox_mul_result2,20,10,10,25,20,0.0009332606568932533,0.0009666159749031067,0.0009339586831629276,0.0009590680710971355,0.0009425275027751922,0.0009332606568932533,0.0009641607101653301,25,0.0009360373951494694,0
ort,ox_add_result2,20,10,10,25,20,0.0009370129555463791,0.0009701228700578213,0.0009383363649249077,0.000965368002653122,0.0009479209035634994,0.0009370129555463791,0.0009701228700578213,25,0.000941028818488121,0
ort,ox_out_activations_result,20,10,10,25,20,0.000940611120313406,0.0009740558452904224,0.0009419270791113377,0.0009666383266448975,0.0009512103535234928,0.000940611120313406,0.0009733311585141955,25,0.0009438297711312771,0
ort,ox_negative_class_proba,20,10,10,25,20,0.0009444728493690491,0.0009789238683879375,0.0009458004496991634,0.0009698718786239624,0.0009541829489171505,0.0009444728493690491,0.0009750347807983007,25,0.0009481348097324371,0
ort,ox_probabilities,20,10,10,25,20,0.0009324932470917702,0.0009773601777851582,0.0009339479729533195,0.0009727748110890388,0.0009458770416676998,0.0009324932470917702,0.000976813626820453,25,0.0009358539246022701,0
ort,ox_argmax_output,20,10,10,25,20,0.000941114965826273,0.0009721838869154453,0.0009429659694433212,0.0009674793109297752,0.0009503249078989029,0.000941114965826273,0.0009715101816916166,25,0.0009441212750971317,0
ort,ox_array_feature_extractor_result,20,10,10,25,20,0.000936213880777359,0.0009767510928213596,0.0009370199404656887,0.0009635267779231071,0.0009477218426764011,0.000936213880777359,0.0009729241446839818,25,0.0009394744411110878,0
ort,ox_reshaped_result,20,10,10,25,20,0.0009331582114100456,0.0009799948893487453,0.0009342227131128311,0.0009610592387616634,0.0009433148242533207,0.0009331582114100456,0.0009680929054996373,25,0.0009370949119329453,0
ort,ox_label,20,10,10,25,20,0.0009345589205622673,0.0009692292660474777,0.0009358571842312813,0.0009627453982830048,0.0009448797069489956,0.0009345589205622673,0.0009677328609362506,25,0.0009380369447171688,0
ort,ox_output_label,20,10,10,25,20,0.0009302101098001003,0.0009883283637464046,0.0009323358535766602,0.0009575709700584412,0.0009418480098247528,0.0009302101098001003,0.0009683285370193776,25,0.0009347638115286827,0
ort,ox_output_probability,20,10,10,25,20,0.0009300438687205315,0.0010067159309983253,0.0009313267655670643,0.0009569050744175911,0.0009417715668678284,0.0009300438687205315,0.0009746602334533672,25,0.0009339461103081703,0
skl,skl_proba,50,10,10,25,20,0.0022501330822706223,0.0024347808212041855,0.0022583073005080223,0.002295522950589657,0.002279756963253021,0.0022501330822706223,0.002347102245084981,25,0.0022769710049033165,0
ort,onnx_proba,50,10,10,25,20,0.0010924101807177067,0.001189984381198883,0.0010931002907454967,0.0011322377249598503,0.0011051182635128498,0.0010924101807177067,0.0011474288136956534,25,0.00109516317024827,0
ort,ox_cast_input,50,10,10,25,20,0.0011879638768732548,0.0012693218886852264,0.0011885631829500198,0.0012325909920036793,0.0012072163820266723,0.0011879638768732548,0.0012431506675672174,25,0.0012058941647410393,0
ort,ox_mul_result,50,10,10,25,20,0.0011808858253061771,0.0012094839476048946,0.0011824448592960835,0.0012076799757778645,0.0011902499198913575,0.0011808858253061771,0.0012094839476048946,25,0.0011839289218187332,0
ort,ox_add_result,50,10,10,25,20,0.0011781007051467896,0.0012521310709416866,0.00117972819134593,0.001204740721732378,0.0011905081383883952,0.0011781007051467896,0.0012219390316217152,25,0.0011821519583463669,0
ort,ox_next_activations,50,10,10,25,20,0.0011711413972079754,0.0012129489332437515,0.001177700236439705,0.0012050000950694084,0.0011887304298579694,0.0011711413972079754,0.0012114404895921852,25,0.0011837701313197613,0
ort,ox_mul_result1,50,10,10,25,20,0.0011641522869467735,0.001223171129822731,0.0011661238968372345,0.001193935051560402,0.001178931687027216,0.0011641522869467735,0.0012065363449645734,25,0.0011696177534759045,0
ort,ox_add_result1,50,10,10,25,20,0.0011674799025058746,0.0012783408164978027,0.0011707311496138573,0.0012319418601691723,0.001191643215715885,0.0011674799025058746,0.0012425633581510322,25,0.0011848569847643375,0
ort,ox_next_activations1,50,10,10,25,20,0.0011740750633180141,0.0012347209267318249,0.00117531418800354,0.0012023882009088993,0.0011853366531431675,0.0011740750633180141,0.0012132567889215318,25,0.001178087666630745,0
ort,ox_mul_result2,50,10,10,25,20,0.0011720848269760609,0.0012283902615308762,0.0011749030090868473,0.0011991742067039013,0.0011856598779559136,0.0011720848269760609,0.001212468700396814,25,0.0011773030273616314,0
ort,ox_add_result2,50,10,10,25,20,0.0011729528196156025,0.0012078951112926006,0.0011739600449800491,0.0011992249637842178,0.0011846306547522545,0.0011729528196156025,0.0012078951112926006,25,0.0011769551783800125,0
ort,ox_out_activations_result,50,10,10,25,20,0.0011793640442192554,0.0012217159382998943,0.00118175707757473,0.0012172725982964039,0.0011923539079725742,0.0011793640442192554,0.0012196262029327111,25,0.0011839349754154682,0
ort,ox_negative_class_proba,50,10,10,25,20,0.00118184182792902,0.0012273062020540237,0.0011837156489491463,0.001220686361193657,0.001198833268135786,0.00118184182792902,0.001226388566407479,25,0.0012001115828752518,0
ort,ox_probabilities,50,10,10,25,20,0.0011792019940912724,0.001218481920659542,0.0011814702302217484,0.0012054657563567162,0.0011903595365583897,0.0011792019940912724,0.0012125056303507564,25,0.00118342787027359,0
ort,ox_argmax_output,50,10,10,25,20,0.0011821039952337742,0.0012280149385333061,0.001183308195322752,0.0012217857874929905,0.0011975959874689578,0.0011821039952337742,0.0012251068775624516,25,0.0011961297132074833,0
ort,ox_array_feature_extractor_result,50,10,10,25,20,0.0011798897758126259,0.0012374701909720898,0.0011827941052615643,0.001226232387125492,0.001200741846114397,0.0011798897758126259,0.0012350369310607909,25,0.0011968528851866722,0
ort,ox_reshaped_result,50,10,10,25,20,0.0011723609641194344,0.0012639942578971386,0.0011733761057257652,0.0012289909645915031,0.0011931982263922692,0.0011723609641194344,0.0012405703088893148,25,0.00117971608415246,0
ort,ox_label,50,10,10,25,20,0.0011797510087490082,0.0012317108921706676,0.0011815009638667107,0.001210247166454792,0.001194092109799385,0.0011797510087490082,0.0012225006034375274,25,0.0011850572191178799,0
ort,ox_output_label,50,10,10,25,20,0.0011695739813148975,0.0012475359253585339,0.0011716973967850208,0.001198410987854004,0.001182732842862606,0.0011695739813148975,0.0012165736521676967,25,0.0011735102161765099,0
ort,ox_output_probability,50,10,10,25,20,0.001173434779047966,0.0012163477949798107,0.0011760876514017582,0.001203959807753563,0.0011872491613030434,0.001173434779047966,0.0012120318221038348,25,0.001179675105959177,0
skl,skl_proba,100,10,10,25,20,0.0024981857277452946,0.0026574661023914814,0.0025001619942486286,0.0025475770235061646,0.002528655808418989,0.0024981857277452946,0.002589833153784889,25,0.00252572912722826,0
ort,onnx_proba,100,10,10,25,20,0.001567872241139412,0.0016818256117403507,0.0015710131265223026,0.0016072280704975128,0.0015870743803679942,0.001567872241139412,0.0016335194876609823,25,0.001575901173055172,0
ort,ox_cast_input,100,10,10,25,20,0.0016781906597316265,0.0017636730335652828,0.0016788640059530735,0.001727634109556675,0.001700314376503229,0.0016781906597316265,0.001745773947640041,25,0.0017004460096359253,0
ort,ox_mul_result,100,10,10,25,20,0.0016640149988234043,0.001742647960782051,0.0016671251505613327,0.0017056833021342754,0.0016847273893654347,0.0016640149988234043,0.0017191501833220923,25,0.0016846014186739922,0
ort,ox_add_result,100,10,10,25,20,0.0016691512428224087,0.0017152782529592514,0.0016697188839316368,0.0017034411430358887,0.0016842081397771835,0.0016691512428224087,0.0017124935778256695,25,0.0016760863363742828,0
ort,ox_next_activations,100,10,10,25,20,0.001669038087129593,0.001716506201773882,0.0016703596338629723,0.0017086910083889961,0.0016849699057638644,0.001669038087129593,0.0017160443172890686,25,0.0016738898120820522,0
ort,ox_mul_result1,100,10,10,25,20,0.0016597197391092777,0.0017282431945204735,0.0016646604053676128,0.001699086744338274,0.0016812259145081044,0.0016597197391092777,0.0017143486485328098,25,0.0016734790988266468,0
ort,ox_add_result1,100,10,10,25,20,0.0016474230214953423,0.0016942932270467281,0.0016513778828084469,0.0016856458969414234,0.001662313211709261,0.0016474230214953423,0.0016875351847338812,25,0.0016559641808271408,0
ort,ox_next_activations1,100,10,10,25,20,0.0016535348258912563,0.0017229309305548668,0.0016579832881689072,0.00170113705098629,0.001676866691559553,0.0016535348258912563,0.0017153348471543174,25,0.001679138746112585,0
ort,ox_mul_result2,100,10,10,25,20,0.0016534780152142048,0.00171321677044034,0.0016568470746278763,0.0016838479787111282,0.0016702228412032128,0.0016534780152142048,0.0016994044969547329,25,0.001661085058003664,0
ort,ox_add_result2,100,10,10,25,20,0.0016541876830160618,0.0017543788999319077,0.001659655012190342,0.0017052129842340946,0.0016785444691777228,0.0016541876830160618,0.0017242642243943968,25,0.0016642319969832897,0
