_model,onnxrt_time,onnxrt_std,input_size,original_time,original_std,nb_estimators,nb_onnx_nodes,_tested,onnxruntime,numpy-version,onnx-version,onnxruntime-version,stderr,ratio,ratio_nodes,CPU,CPUI
SklearnBinGaussianNBInt,0.0003913416236173362,1.9293124199038525e-06,912.0,0.00019864260661415757,3.076302057712531e-06,1,20,True,True,1.17.4,1.6.34,1.0.991,,1.9700789789648514,20.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinGradientBoostingClassifier1Deviance,1.7475075786933303e-05,6.304082523649018e-07,120.0,0.00015230911062099042,1.923026873095781e-06,2,3,True,True,1.17.4,1.6.34,1.0.991,,0.11473427765210115,1.5,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinGradientBoostingClassifier3,1.8313534557819368e-05,6.959361558428317e-07,120.0,0.0001526684877462685,2.2437614992970297e-06,2,3,True,True,1.17.4,1.6.34,1.0.991,,0.11995621904800706,1.5,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinMultinomialNB-Dec4,0.00027611084771342575,2.298855342570389e-06,512.0,0.00010839043906889856,2.254468469131726e-06,1,13,True,True,1.17.4,1.6.34,1.0.991,,2.547372721111642,13.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinMultinomialNBInt-Dec4,0.00030639581731520585,2.374864442454965e-06,912.0,0.0001084402110427618,2.1658774605813736e-06,1,14,True,True,1.17.4,1.6.34,1.0.991,,2.8254815660067574,14.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinNuSVCPF-NoProbOpp,2.261318988166749e-05,1.121901332638058e-06,124.0,8.046863367781044e-05,6.275331090059522e-06,1,1,True,True,1.17.4,1.6.34,1.0.991,,0.28101868825322396,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinNuSVCPT,2.8171030804514892e-05,1.0446678069889404e-06,124.0,5.767734465189278e-05,1.1190651882890188e-06,1,3,True,True,1.17.4,1.6.34,1.0.991,,0.4884245447591078,3.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinOneClassSVM,2.049621357582509e-05,5.875754296736086e-07,124.0,7.476239372044802e-05,1.1635518445547816e-06,1,3,True,True,1.17.4,1.6.34,1.0.991,,0.2741513822104821,3.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinRandomForestClassifier,1.7925338819622995e-05,3.101534760248473e-06,120.0,0.000492724307347089,2.4203664766708388e-05,6,3,True,True,1.17.4,1.6.34,1.0.991,,0.03638005787888982,0.5,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinRandomForestClassifier_mismatched_estimator_counts,3.4349907189607614e-05,0.00011272315544200124,120.0,0.0005837577842175961,0.00025496587274672787,6,3,True,True,1.17.4,1.6.34,1.0.991,,0.0588427394345523,0.5,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBinSVCLinearPF-NoProbOpp,1.4054970815777777e-05,7.053908710949649e-07,124.0,7.734826719388366e-05,1.3321399106330543e-06,1,1,True,True,1.17.4,1.6.34,1.0.991,,0.18171022216369934,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
