lib,N,dim,nbnode,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
npy,1,10,1,20,2,1.28159299492836e-05,2.080574631690979e-05,1.3001728802919388e-05,1.3452023267745972e-05,1.3509602285921574e-05,1.28159299492836e-05,1.6805506475827775e-05,20,1.3111624866724014e-05,0
ort,10,10,1,20,2,2.6684720069169998e-05,3.97777184844017e-05,2.676481381058693e-05,2.840859815478325e-05,2.8062891215085983e-05,2.6684720069169998e-05,3.4191743858087904e-05,20,2.702116034924984e-05,0
npy,10,10,1,20,2,1.3879965990781784e-05,2.2840220481157303e-05,1.4008954167366028e-05,1.5241093933582306e-05,1.498169731348753e-05,1.3879965990781784e-05,2.0014072515346526e-05,20,1.4079967513680458e-05,0
ort,100,10,1,20,2,4.243385046720505e-05,5.8818142861127853e-05,4.2697880417108536e-05,4.3662264943122864e-05,4.3893116526305676e-05,4.243385046720505e-05,5.065520986422456e-05,20,4.310556687414646e-05,0
npy,100,10,1,20,2,2.257293090224266e-05,3.0431896448135376e-05,2.2687949240207672e-05,2.35862098634243e-05,2.329912967979908e-05,2.257293090224266e-05,2.6554929367434695e-05,20,2.2892607375979424e-05,0
ort,1000,10,1,20,2,0.0001843576319515705,0.00021671084687113762,0.0001867269165813923,0.00020225392654538155,0.00019816351123154164,0.0001843576319515705,0.0002159790538696112,20,0.0002003801055252552,0
npy,1000,10,1,20,2,9.399419650435448e-05,0.00010976102203130722,9.432900696992874e-05,0.00010416563600301743,9.643493685871363e-05,9.399419650435448e-05,0.00010474621444145678,20,9.483634494245052e-05,0
ort,10000,10,1,20,2,0.0017818142659962177,0.0019449242390692234,0.0018663741648197174,0.0018882667645812035,0.0018733195029199123,0.0018195452471691507,0.001927093758670674,20,0.0018747532740235329,0
npy,10000,10,1,20,2,0.0008425400592386723,0.0008597448468208313,0.0008439528755843639,0.0008511780761182308,0.0008476089453324676,0.0008425400592386723,0.0008564613271296462,20,0.0008461577817797661,0
ort,1,10,2,20,2,2.5004614144563675e-05,0.0007467726245522499,2.5354325771331787e-05,2.6338733732700348e-05,6.180380005389452e-05,2.5004614144563675e-05,0.00036980589771153815,20,2.5626271963119507e-05,0
npy,1,10,2,20,2,1.9656959921121597e-05,2.7589034289121628e-05,1.9692815840244293e-05,2.02888622879982e-05,2.0274985581636427e-05,1.9656959921121597e-05,2.3587410481280425e-05,20,1.9850442185997963e-05,0
ort,10,10,2,20,2,2.862280234694481e-05,4.5890454202890396e-05,2.8816983103752136e-05,2.932734787464142e-05,2.986583858728409e-05,2.862280234694481e-05,3.710703574448454e-05,20,2.8899870812892914e-05,0
npy,10,10,2,20,2,2.2239983081817627e-05,3.108615055680275e-05,2.25212424993515e-05,2.2827647626399994e-05,2.3086857981979848e-05,2.2239983081817627e-05,2.671032545911583e-05,20,2.2639520466327667e-05,0
ort,100,10,2,20,2,5.964934825897217e-05,8.27256590127945e-05,6.000511348247528e-05,6.181374192237854e-05,6.281710229814053e-05,5.964934825897217e-05,7.440601496815765e-05,20,6.111711263656616e-05,0
npy,100,10,2,20,2,3.867829218506813e-05,4.759291186928749e-05,3.882218152284622e-05,3.947317600250244e-05,3.955247811973095e-05,3.867829218506813e-05,4.3221859915993296e-05,20,3.9103906601667404e-05,0
ort,1000,10,2,20,2,0.0003579421900212765,0.0004120729863643646,0.00037193484604358673,0.00037581613287329674,0.00037552155554294587,0.0003579421900212765,0.00039726135723058674,20,0.00037393788807094097,0
npy,1000,10,2,20,2,0.00017375685274600983,0.00018468080088496208,0.00017485208809375763,0.00017638271674513817,0.00017611912917345763,0.00017375685274600983,0.0001811647642486467,20,0.00017542648129165173,0
ort,10000,10,2,20,2,0.0034002335742115974,0.0036002290435135365,0.003435820806771517,0.003592847380787134,0.0035348362056538464,0.0034115919267804517,0.0036002290435135365,20,0.0035576033405959606,0
npy,10000,10,2,20,2,0.0015208800323307514,0.0015396461822092533,0.0015225159004330635,0.0015319469384849072,0.0015282350359484553,0.0015208800323307514,0.0015368050998045208,20,0.0015282714739441872,0
ort,1,10,3,20,2,2.6005785912275314e-05,0.0007524406537413597,2.611801028251648e-05,2.7026981115341187e-05,6.285631097853183e-05,2.6005785912275314e-05,0.00037293348603408157,20,2.640625461935997e-05,0
npy,1,10,3,20,2,2.6386231184005737e-05,3.395881503820419e-05,2.6680994778871536e-05,2.730404958128929e-05,2.7217925526201726e-05,2.6386231184005737e-05,3.0292298847484676e-05,20,2.682674676179886e-05,0
ort,10,10,3,20,2,3.0769966542720795e-05,4.796171560883522e-05,3.087194636464119e-05,3.1257979571819305e-05,3.197477199137211e-05,3.0769966542720795e-05,3.921095576686891e-05,20,3.108452074229717e-05,0
npy,10,10,3,20,2,3.032013773918152e-05,3.91700305044651e-05,3.055203706026077e-05,3.1319912523031235e-05,3.119946923106909e-05,3.032013773918152e-05,3.482825382357438e-05,20,3.0720606446266174e-05,0
ort,100,10,3,20,2,7.68713653087616e-05,9.654788300395012e-05,7.756892591714859e-05,7.928116247057915e-05,7.928905542939902e-05,7.68713653087616e-05,8.722590755032059e-05,20,7.837195880711079e-05,0
npy,100,10,3,20,2,5.365908145904541e-05,6.330572068691254e-05,5.4169911891222e-05,5.5585987865924835e-05,5.50104072317481e-05,5.365908145904541e-05,5.888730524696209e-05,20,5.447212606668472e-05,0
ort,1000,10,3,20,2,0.0005179070867598057,0.000569530762732029,0.0005285888910293579,0.0005545769818127155,0.0005406929645687342,0.0005179070867598057,0.0005664096535433853,20,0.0005414229817688465,0
npy,1000,10,3,20,2,0.0002542617730796337,0.0002652718685567379,0.00025497283786535263,0.00025740498676896095,0.00025642476975917816,0.0002542617730796337,0.00026102272999358665,20,0.00025575514882802963,0
ort,10000,10,3,20,2,0.0050902352668344975,0.005309619940817356,0.005113846156746149,0.005281215999275446,0.005200444022193551,0.0050902352668344975,0.005309619940817356,20,0.005229384871199727,0
npy,10000,10,3,20,2,0.00219923397526145,0.002233813051134348,0.0022034691646695137,0.002226872369647026,0.002209924487397075,0.00219923397526145,0.002227812709381001,20,0.0022078354377299547,0
ort,1,10,5,20,2,2.739066258072853e-05,0.0007367897778749466,2.7548056095838547e-05,2.8627924621105194e-05,6.34065829217434e-05,2.739066258072853e-05,0.00036619876204473063,20,2.7820002287626266e-05,0
npy,1,10,5,20,2,4.026293754577637e-05,4.8718880861997604e-05,4.045385867357254e-05,4.161708056926727e-05,4.1255750693380834e-05,4.026293754577637e-05,4.474448119525388e-05,20,4.077795892953873e-05,0
ort,10,10,5,20,2,3.527011722326279e-05,5.449913442134857e-05,3.544706851243973e-05,3.6014243960380554e-05,3.6644726060330866e-05,3.527011722326279e-05,4.4730399760979684e-05,20,3.5570934414863586e-05,0
npy,10,10,5,20,2,4.6683941036462784e-05,5.52530400454998e-05,4.681898280978203e-05,4.780106246471405e-05,4.742685705423355e-05,4.6683941036462784e-05,5.100968917407992e-05,20,4.692212678492069e-05,0
ort,100,10,5,20,2,0.00011022482067346573,0.000132835004478693,0.00011207675561308861,0.00011418992653489113,0.00011400009971112013,0.00011022482067346573,0.00012276245568129692,20,0.000113264424726367,0
npy,100,10,5,20,2,8.470891043543816e-05,0.00011136895045638084,8.48858617246151e-05,8.719274774193764e-05,8.741742931306362e-05,8.470891043543816e-05,9.885077178771889e-05,20,8.58604907989502e-05,0
ort,1000,10,5,20,2,0.0008764551021158695,0.0009083091281354427,0.0008796621114015579,0.0009032180532813072,0.0008864171570166946,0.0008764551021158695,0.0009047517659388377,20,0.0008831864688545465,0
npy,1000,10,5,20,2,0.00041319290176033974,0.00042729172855615616,0.00041510723531246185,0.0004219701513648033,0.0004172103013843298,0.00041319290176033974,0.00042383118588913487,20,0.00041595310904085636,0
ort,10000,10,5,20,2,0.008459997363388538,0.008748199325054884,0.008535420056432486,0.008676227182149887,0.008617218071594834,0.008486679648545386,0.008747756494644281,20,0.008623397443443537,0
npy,10000,10,5,20,2,0.003558114171028137,0.0035847011022269726,0.0035601877607405186,0.0035738288424909115,0.0035651160636916757,0.003558114171028137,0.0035769787190328916,20,0.0035636192187666893,0
